country,year,population,energy_use,emissions,renewable_pct,mean_temp,gdp
Papua New Guinea,1994,4480208.0,,0.488,,24.69483333333333,1228.243436387717
Paraguay,1994,4471417.0,802.1076434915085,0.759,,24.470916666666668,1760.288070832916
Peru,1994,23881493.0,430.0407552466506,1.012,0.75,20.530583333333336,1879.366577579185
Philippines,1994,69019291.0,446.1761237308059,0.775,20.749,26.831333333333333,1059.9838951587
Poland,1994,38542652.0,2495.223172269923,9.388,0.038,8.921000000000001,2874.83163555069
Portugal,1994,9991525.0,1827.690651212813,5.025,3.085,15.312833333333332,9977.319909057707
Qatar,1994,499459.0,15753.4549066912,64.819,0.0,27.52958333333333,14764.877135522172
Romania,1994,22730211.0,1896.3452599559064,5.311,0.0,10.609,1323.032377669268
Russian Federation,1994,148407912.0,4427.266439199731,,,,2662.10400390625
Rwanda,1994,6792352.0,766.6162121096564,0.068,,19.712416666666662,110.95366825137236
Samoa,1994,173159.0,,0.571,,26.74891666666667,1276.850215748969
San Marino,1994,24823.0,,,,15.485583333333333,
Saudi Arabia,1994,12750040.0,6591.026441413926,22.84,0.0,26.297583333333336,10601.919669780538
Senegal,1994,8624078.0,204.21084071629107,0.422,,28.241083333333336,583.7827760321808
Serbia,1994,7622711.0,1570.4485926225725,4.717,0.0,11.682250000000002,
Sierra Leone,1994,4173105.0,,0.066,,26.35825,218.5072751262222
Singapore,1994,3419048.0,6460.589507621068,17.58,1.185,27.08775,21552.410036694768
Slovak Republic,1994,5346331.0,3260.772839938997,,,,3820.9642754265774
Slovenia,1994,1989443.0,2827.9107900459776,7.363,0.0,11.502,8243.898955451055
Solomon Islands,1994,373675.0,,0.49,,26.79308333333333,1078.041092587397
"Somalia, Fed. Rep.",1994,7026797.0,,,,,210.79377958138429
South Africa,1994,44004139.0,2255.9548960419424,7.697,0.0,17.61475,3488.5971154176304
South Sudan,1994,5071184.0,,0.066,,,
Spain,1994,39549108.0,2435.9412728284715,6.307,0.4,14.651000000000002,13405.704414882965
Sri Lanka,1994,17275773.0,336.75142396956767,0.309,0.0,27.36525,678.2680120202053
Sudan,1994,24043948.0,496.43974663140176,0.16,,27.25733333333333,439.420806884766
Suriname,1994,422375.0,,4.837,,26.56608333333333,1433.5425565278078
Sweden,1994,8780745.0,5659.952585235831,6.833,1.563,2.8799166666666665,26045.814892770133
Switzerland,1994,6993795.0,3482.935604125113,6.101,0.832,8.821083333333332,43091.77709700731
Syrian Arab Republic,1994,14208583.0,805.0043921090513,,,,712.3877166357828
Tajikistan,1994,5825368.0,427.1032869647033,0.403,,4.72025,261.2712545448647
Tanzania,1994,29442356.0,353.5561207927008,0.07,,22.862416666666665,228.890029907227
Thailand,1994,58260854.0,979.262431000536,2.349,0.071,26.477,2517.7073264168257
Togo,1994,4222940.0,352.4370309914278,0.238,,27.081666666666667,328.6009560797356
Tonga,1994,100166.0,,0.878,,23.22775,1956.6618035482093
Tunisia,1994,9018448.0,635.5453566455602,1.858,,21.266,1733.4661467350631
Turkiye,1994,60033836.0,927.181663056975,,,,2176.280181380901
Turkmenistan,1994,4116662.0,3232.603982667948,8.312,0.0,15.356416666666668,622.1347801580899
