country,n_obs,min_year,max_year,mean_emissions,trend,adf_pvalue,is_stationary,ols_r2,durbin_watson,has_autocorrelation
Chad,33,1990,2022,0.09842424242424243,increasing,0.8933843594316624,False,0.9042067587145302,0.8186819509205739,True
Chile,33,1990,2022,3.7967575757575758,increasing,0.42675876754423736,False,0.9548083912976257,0.8867043790848262,True
China,33,1990,2022,4.94069696969697,increasing,0.9344607391107922,False,0.9966828604772413,0.8952075094350231,True
Colombia,33,1990,2022,1.6836666666666669,decreasing,0.07311103532811224,False,0.8345504165271354,1.6471143687541154,False
Costa Rica,33,1990,2022,1.4786060606060605,increasing,0.036034530036842,True,0.8096999787567689,1.345636964410481,True
Cote d'Ivoire,33,1990,2022,0.3738181818181818,increasing,0.07870238816005681,False,0.1270638694000107,0.968502306304211,True
Croatia,33,1990,2022,4.524333333333334,decreasing,0.058732762526299394,False,0.9433488905263308,1.2183482333708582,True
Cuba,33,1990,2022,2.2828181818181816,decreasing,0.08183403168449044,False,0.6556058746843754,0.9402707107928214,True
Cyprus,33,1990,2022,6.705,decreasing,0.8274145995323892,False,0.9350183402151528,1.1863865570276129,True
Czechia,33,1990,2022,11.651787878787879,decreasing,0.19486877063526337,False,0.9531058031882685,0.9268275436037176,True
Denmark,33,1990,2022,9.181666666666665,decreasing,0.9878812293542243,False,0.9888409955118844,1.424024256386874,True
Djibouti,33,1990,2022,0.4738787878787879,decreasing,0.015405373949589875,True,0.20326687645145536,1.2162835633915323,True
Dominican Republic,33,1990,2022,2.0699090909090905,increasing,0.4944765527484876,False,0.9106587350735488,1.4698924736355687,True
Ecuador,33,1990,2022,2.1027272727272726,increasing,0.03515567001253385,True,0.7422877998382464,2.258430837442302,False
El Salvador,33,1990,2022,0.9648181818181819,increasing,8.925337826966374e-05,True,0.9122359203170202,1.6643164978335931,False
Equatorial Guinea,33,1990,2022,3.8914545454545455,increasing,0.20397228513042037,False,0.6608640213562589,0.33362881837718006,True
Eritrea,33,1990,2022,0.24718181818181817,decreasing,0.4158216104119986,False,0.9372470330538702,1.3653597950370047,True
Estonia,33,1990,2022,13.012151515151515,decreasing,0.004222283706863552,True,0.9237375106698704,1.0472722199577114,True
Ethiopia,33,1990,2022,0.08227272727272728,increasing,0.9956579396613234,False,0.9711438646879975,1.3661932751397179,True
Fiji,33,1990,2022,1.1523030303030302,increasing,0.35097981126985367,False,0.7277727969903898,1.5905671471137608,False
Finland,33,1990,2022,10.520484848484847,decreasing,0.991092009021187,False,0.9535514185062434,1.3233294849567696,True
France,33,1990,2022,6.095393939393939,decreasing,0.9773500436011912,False,0.9779276280053337,0.9957554019332746,True
