country_code,country_name,year,Electricity production from hydroelectric sources (% of total),Energy use (kg of oil equivalent per capita),Forest area (% of land area),Fossil fuel energy consumption (% of total),GDP growth (annual %),GDP per capita (current US$),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Population growth (annual %),"Population, total",Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Trade (% of GDP),Urban population (% of total population)
CAN,Canada,2001,56.4596833868698,8017.16666642228,38.7876307080739,52.7215315806463,1.87509810696022,23822.096210932,9.76086476457905,1.0861994547665,31020855.0,58.0524008446178,19.8,78.3442183943698,79.81
CAN,Canada,2002,58.2569676107441,7943.44588697183,38.7822795822695,51.5743272739427,2.99925535017809,24256.0192337185,9.72810868247048,1.08479328329522,31359199.0,59.9003535306548,20.1,75.7070320779233,79.888
CAN,Canada,2003,57.1899084604998,8303.4318789013,38.7769284564652,52.61939369501715,1.80638512302554,28301.8645937428,9.69060887185911,0.899226809998674,31642461.0,58.9264990164968,19.7,69.8400946170607,79.967
CAN,Canada,2004,56.7713467430398,8371.02231862308,38.7715773306609,51.20348428794425,3.09236384292251,32145.5412620217,9.64158604337681,0.932186964148048,31938807.0,58.4529439190089,20.4,70.1924199909562,80.045
CAN,Canada,2005,58.2743262406781,8369.95929648006,38.7662262048566,50.75964651939455,3.21045439063563,36383.6600068095,9.57426090765544,0.94708626967041,32242732.0,59.8555982828252,21.6,69.7591330167357,80.122
CAN,Canada,2006,57.8194696759968,8427.44174185883,38.7608750790522,48.633433558934954,2.63794375007348,40504.0370977806,9.40182085213359,1.01355939144957,32571193.0,59.5620002719274,21.5,68.0521644769988,80.213
CAN,Canada,2007,58.5169871856082,8356.30636250042,38.7555239532479,49.1344773890104,2.04990463726786,44660.0838892281,9.08026235211045,0.970654173316653,32888886.0,60.2476621533016,21.6,66.2834197482347,80.396
CAN,Canada,2008,59.5923437393955,8098.35289361915,38.7501728274436,49.7061345264731,0.995406301140747,46710.2526864484,8.66701975000882,1.083871149194,33247298.0,61.3290986200485,21.6,67.0236083618983,80.578
CAN,Canada,2009,60.5576210620353,7696.33407281264,38.7448217016393,48.947506341335405,-2.91508621550267,40874.8831932903,8.21952738825148,1.14470768476526,33630069.0,62.9637388659713,22.2,58.4743918224897,80.758
CAN,Canada,2010,58.2393363790169,7660.75452103288,38.7394705758349,49.9001201814733,3.09080634469335,47560.6666009406,7.79521960926122,1.11135202971694,34005902.0,61.2394556876236,21.4,60.2081215044483,80.937
CAN,Canada,2011,59.2980119701519,7716.24822782698,38.7348640747569,49.45003818180155,3.13719442170364,52223.8588398531,7.37287638245787,0.97540725097113,34339221.0,62.4604027184521,21.5,62.4987387708328,81.096
CAN,Canada,2012,60.1315704183155,7637.78487245197,38.7302575736789,48.12966335228745,1.75566129145483,52670.3447335415,7.58558915249491,1.08374652233653,34713395.0,63.6371552837649,21.8,62.5955489395005,81.137
CAN,Canada,2013,59.5498139168043,7668.79466344868,38.7256510726009,46.85013016440125,2.32581354806429,52638.1187235237,7.26096632331949,1.05338098055318,35080992.0,64.0759575040385,22.2,62.2310749013405,81.178
CAN,Canada,2014,58.0444693941026,7780.1475931021,38.7210445715229,47.235955603454045,2.87346677785811,50960.8431174661,7.38092988336422,1.00142284689661,35434066.0,63.1954620280532,22.2,64.3786621564923,81.218
CAN,Canada,2015,58.0624876589152,7690.40816617685,38.7164380704449,46.966309269709,0.649971001734855,43594.1941045394,7.11576183142395,0.760300145238936,35704498.0,64.1242644713459,22.3,66.1649020669781,81.259
