_id,year,temp_anomaly
691d34103de74aff30dc4b14,1946,-0.08
691d34103de74aff30dc4b15,1947,-0.03
691d34103de74aff30dc4b16,1948,-0.11
691d34103de74aff30dc4b17,1949,-0.11
691d34103de74aff30dc4b18,1950,-0.18
691d34103de74aff30dc4b19,1951,-0.07
691d34103de74aff30dc4b1a,1952,0.01
691d34103de74aff30dc4b1b,1953,0.08
691d34103de74aff30dc4b1c,1954,-0.13
691d34103de74aff30dc4b1d,1955,-0.14
691d34103de74aff30dc4b1e,1956,-0.19
691d34103de74aff30dc4b1f,1957,0.05
691d34103de74aff30dc4b20,1958,0.06
691d34103de74aff30dc4b21,1959,0.03
691d34103de74aff30dc4b22,1960,-0.03
691d34103de74aff30dc4b23,1961,0.06
691d34103de74aff30dc4b24,1962,0.03
691d34103de74aff30dc4b25,1963,0.05
691d34103de74aff30dc4b26,1964,-0.2
691d34103de74aff30dc4b27,1965,-0.11
691d34103de74aff30dc4b28,1966,-0.06
691d34103de74aff30dc4b29,1967,-0.02
691d34103de74aff30dc4b2a,1968,-0.08
691d34103de74aff30dc4b2b,1969,0.05
691d34103de74aff30dc4b2c,1970,0.03
691d34103de74aff30dc4b2d,1971,-0.08
691d34103de74aff30dc4b2e,1972,0.01
691d34103de74aff30dc4b2f,1973,0.16
691d34103de74aff30dc4b30,1974,-0.07
691d34103de74aff30dc4b31,1975,-0.01
691d34103de74aff30dc4b32,1976,-0.1
691d34103de74aff30dc4b33,1977,0.18
691d34103de74aff30dc4b34,1978,0.07
691d34103de74aff30dc4b35,1979,0.16
691d34103de74aff30dc4b36,1980,0.25
691d34103de74aff30dc4b37,1981,0.32
691d34103de74aff30dc4b38,1982,0.14
691d34103de74aff30dc4b39,1983,0.31
691d34103de74aff30dc4b3a,1984,0.15
691d34103de74aff30dc4b3b,1985,0.12
691d34103de74aff30dc4b3c,1986,0.18
691d34103de74aff30dc4b3d,1987,0.32
691d34103de74aff30dc4b3e,1988,0.39
691d34103de74aff30dc4b3f,1989,0.27
691d34103de74aff30dc4b40,1990,0.45
691d34103de74aff30dc4b41,1991,0.4
691d34103de74aff30dc4b42,1992,0.22
691d34103de74aff30dc4b43,1993,0.23
691d34103de74aff30dc4b44,1994,0.31
691d34103de74aff30dc4b45,1995,0.44
691d34103de74aff30dc4b46,1996,0.33
691d34103de74aff30dc4b47,1997,0.46
691d34103de74aff30dc4b48,1998,0.6
691d34103de74aff30dc4b49,1999,0.38
691d34103de74aff30dc4b4a,2000,0.39
691d34103de74aff30dc4b4b,2001,0.53
691d34103de74aff30dc4b4c,2002,0.62
691d34103de74aff30dc4b4d,2003,0.61
691d34103de74aff30dc4b4e,2004,0.53
691d34103de74aff30dc4b4f,2005,0.67
691d34103de74aff30dc4b50,2006,0.63
691d34103de74aff30dc4b51,2007,0.66
691d34103de74aff30dc4b52,2008,0.54
691d34103de74aff30dc4b53,2009,0.65
691d34103de74aff30dc4b54,2010,0.72
691d34103de74aff30dc4b55,2011,0.6
691d34103de74aff30dc4b56,2012,0.64
691d34103de74aff30dc4b57,2013,0.67
691d34103de74aff30dc4b58,2014,0.75
691d34103de74aff30dc4b59,2015,0.89
691d34103de74aff30dc4b5a,2016,1.01
691d34103de74aff30dc4b5b,2017,0.91
691d34103de74aff30dc4b5c,2018,0.85
691d34103de74aff30dc4b5d,2019,0.97
691d34103de74aff30dc4b5e,2020,1.0
691d34103de74aff30dc4b5f,2021,0.84
691d34103de74aff30dc4b60,2022,0.89
691d34103de74aff30dc4b61,2023,1.17
691d34103de74aff30dc4b62,2024,1.28
